术语,定义,例句
冻结信用利差法,将信用利差保持不变的方法。,冻结信用利差法在初始时将利差固定。
完全公允价值,被收购方整体权益的公允价值，用于计量包括非控制性权益在内的商誉。,商誉是使用包括非控制性权益在内的被收购方的完全公允价值计量的。
现金流量的完全按比例份额,现金流量中按比例享有的份额。,投资者收取现金流量中完全按比例的份额。
费用的功能,按功能（如销售成本）分组列报的费用。,该报表按费用的功能列示费用。
记账本位币,主体经营所处主要经济环境的货币。,该土耳其子公司的记账本位币是里拉。
重大差错,指重大程度足以导致前期财务报表不再被认为可靠的差错。,前期重大差错通过重述比较数据予以更正。
重大差错与会计政策变更,涵盖重大差错更正与会计政策变更的主题。,根据该准则，重大差错采用追溯法予以更正。
已筹资金额,为履行某项义务而拨备的资产金额。,已筹资金额超过了该义务的现值。
资金筹措,为某项活动或义务提供资源以融通资金。,该计划的资金筹措状况每年予以披露。
资金筹措（离职后福利方面）,为福利计划提供资金而缴存的款项。,离职后福利的资金筹措减少了计划赤字。
资金筹措（退休福利方面）,将资产拨入基金以满足未来退休福利义务的过程。,退休福利的资金筹措通过单独管理的养老金基金安排。
未来现金流量,预期在未来期间收到的现金。,该资产的使用价值以未来现金流量为基础。
未来经济利益,产生现金流量或其他利益的能力。,资产体现着未来经济利益。
期货合约,在未来某一日期买进或卖出标的的标准化合约。,该期货合约在有组织的交易所交易。
公认会计原则,主体在某一辖区内遵循的会计规则和会计惯例的总和。,从原施行的公认会计原则向国际财务报告准则过渡的调节表已在附注中列示。
处置利得,资产以高于其账面金额的价格出售时确认的利润。,出售子公司确认了处置利得。
利得,并非由所有者出资形成的经济利益增加。,重新估价导致在其他综合收益中确认了利得。
一般购买力法,使用一般物价指数重述金额的方法。,在一般购买力法下，账户按通货膨胀进行调整重述。
通用财务报表,为广泛的使用者编制的财务报表。,通用财务报表满足大多数使用者的需要。
一般确认原则,指项目在符合财务报表要素的定义并满足相关确认标准时予以确认的基本原则。,根据一般确认原则，当未来经济利益很可能流入主体时，该资产即予确认。
地区分部,按地理区域划分的分部。,收入按地区分部予以披露。
持续经营,主体将持续经营的假设。,财务报表以持续经营为基础编制。
商誉,代表企业合并产生的未来利益的资产。,商誉因收购较小的竞争对手而产生。
管理委员会,负责监督组织并确定其战略方向的机构。,管理委员会批准了年度财务报表。
管理机构,负责监督主体或组织的机构。,管理机构批准了年度财务报表。
公司章程,确立主体组织规章和规则的法律文件。,公司章程对股份转让作出了限制。
政府,政府、政府机构以及类似团体。,政府补助在实际收到或应收时予以确认。
政府援助,政府提供的能带来经济利益的行动。,政府援助即使不属于政府补助也应予以披露。
与经营活动无特定关系的政府援助,授予时不附与主体经营活动相关条件的政府援助，可能需要予以披露。,该准则规范与经营活动无特定关系的政府援助。
政府补助,政府以资源转移形式提供的援助。,政府补助在条件满足时予以确认。
政府担保,政府承诺承担主体义务的保证。,该贷款由政府担保提供支持。
政府关联企业,受政府控制或受政府重大影响的企业。,该公用事业企业是一家政府关联企业。
授予日,主体与其职工就股份支付条款达成共同理解之日的日期。,期权的公允价值于授予日计量。
授予方,向经营方授予服务特许经营权的当事方。,授予方保留对基础设施资产的控制权。
与资产相关的政府补助,以取得长期资产为主要条件的政府补助。,与资产相关的政府补助确认为递延收益。
与收益相关的政府补助,与资产相关的政府补助以外的政府补助。,与收益相关的政府补助在相关期间内计入损益。
租赁投资总额,租赁付款额总额加上未担保余值。,租赁投资总额等于租赁付款额总额。
销售毛利,收入与销售成本之间的差额，即未扣除经营费用前的利润。,由于原材料成本降低和销售价格提高，销售毛利有所改善。
毛利,收入减去销售成本。,毛利在经营费用之前列示。
集团,母公司及其全部子公司的合称。,该集团报告的合并收入为一千万。
集团管理（职工福利）计划,为集团内多个主体集体管理的福利计划。,集团管理计划涵盖了所有子公司的员工。
集团及库存股交易,关于涉及集团内主体和库存股的股份支付安排的指引。,根据关于集团及库存股交易的解释公告，集团将股份支付成本向集团内其他主体作了转分摊。
集团内以现金结算的股份支付交易,在集团内以现金结算的股份支付。,集团内以现金结算的股份支付交易需要谨慎地进行归属分摊。
团体保险合同,以单一合同承保一群人的保险单。,雇主为其员工提供了团体保险合同。
资产组,为减值目的而合并评估的一组资产。,该资产组作为一个整体进行了减值测试。
生物资产组,归集在一起的类似生物资产。,生物资产组以公允价值计量。
类似金融资产组,具有类似信用风险特征、为减值目的而合并评估的金融资产组合。,类似金融资产组的减值是按组合基础评估的。
资产归组,为评估目的而将资产合并归组。,资产归组用于减值测试。
担保,为另一方的义务承担责任的承诺。,母公司为子公司的债务提供了担保。
