Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
D,Direct method of reporting cash flows from operating activities,İşletme faaliyetlerine ilişkin nakit akışlarının raporlanmasında direkt yöntem,Reporting operating cash flows by major gross cash classes.,The entity uses the direct method of reporting cash flows from operating activities.,"İşletme, işletme faaliyetlerine ilişkin nakit akışlarının raporlanmasında direkt yöntemi kullanır."
D,Direct operating expenses,Direkt faaliyet giderleri,Expenses directly attributable to operating an investment property.,Direct operating expenses are disclosed separately.,Direkt faaliyet giderleri ayrı olarak açıklanır.
D,Directly attributable,Doğrudan ilişkilendirilebilen,Costs that can be traced to a specific asset or transaction.,Only directly attributable costs are capitalised.,Yalnızca doğrudan ilişkilendirilebilen maliyetler aktife alınır.
D,Directors,Yöneticiler (müdürler),Members of the governing board of an entity.,Directors are considered key management personnel.,"Yöneticiler, kilit yönetici personel olarak kabul edilir."
D,Disaggregated information,Ayrıştırılmış bilgi,Information broken down into its component parts or categories to provide more detail to users of financial statements.,Disaggregated information about classes of assets helps users assess the entity's risk exposure.,"Varlık sınıflarına ilişkin ayrıştırılmış bilgi, kullanıcıların işletmenin risk maruziyetini değerlendirmesine yardımcı olur."
D,Disclose,Açıklamak,To present information in the financial statements.,Entities must disclose related party transactions.,"İşletmeler, ilişkili taraf işlemlerini açıklamalıdır."
D,Disclosure,Açıklama,Presentation of information in notes to financial statements.,The standard requires extensive disclosure of related parties.,"Standart, ilişkili tarafların kapsamlı şekilde açıklanmasını gerektirir."
D,Disclosure and presentation,Açıklama ve sunum,Requirements governing how information is shown and explained in statements.,The standard sets out disclosure and presentation requirements.,"Standart, açıklama ve sunum gerekliliklerini belirler."
D,Disclosure approach,Açıklama yaklaşımı,A method of presenting information in the notes rather than in the primary financial statements.,The board chose a disclosure approach instead of recognising the item in the accounts.,"Kurul, kalemi hesaplarda muhasebeleştirmek yerine açıklama yaklaşımını seçmiştir."
D,Disclosure of government assistance,Devlet yardımlarının açıklanması,Revealing the nature and amounts of government grants received.,Disclosure of government assistance is required in the notes.,"Devlet yardımlarının açıklanması, dipnotlarda zorunludur."
D,Disclosure requirement,Açıklama hükmü,A rule requiring information to be presented in the financial statements.,The disclosure requirement applies to all material items.,"Açıklama hükmü, tüm önemli kalemler için geçerlidir."
D,Disclosure – Service Concession Arrangements,Açıklama – İmtiyazlı Hizmet Anlaşmaları,Disclosure requirements for service concession arrangements.,Disclosures for service concession arrangements include the concession term.,İmtiyazlı hizmet anlaşmalarına ilişkin açıklamalar imtiyaz süresini içerir.
D,Disclosures in the Financial Statements of Banks and Similar Financial Institutions,Bankalar ve Benzeri Finansal Kuruluşların Finansal Tablolarında Yapılacak Açıklamalar,Disclosure requirements for banks and similar institutions.,The standard requires specific disclosures by banks.,"Standart, bankalar tarafından belirli açıklamalar yapılmasını gerektirir."
D,Discontinued (operations),Durdurulan (faaliyetler),A component of an entity that has been disposed of or is classified as held for sale and represents a separate major line of business.,The results of the discontinued operation are presented separately in the statement of profit or loss.,"Durdurulan faaliyetin sonuçları, kâr veya zarar tablosunda ayrı olarak sunulur."
D,Discontinued operation,Durdurulan faaliyet,A component disposed of or held for sale.,The discontinued operation is presented separately.,"Durdurulan faaliyet, ayrı olarak sunulur."
D,Discontinuing operation,Durdurulan (elden çıkarılacak işletme veya birimlerine ait),A component disposed of or classified as held for sale.,The discontinuing operation is presented separately.,"Durdurulan faaliyet, ayrı olarak sunulur."
D,Discount rate,İskonto oranı,The rate used to convert future cash flows to present value.,A pre-tax discount rate was applied to the projections.,Projeksiyonlara vergi öncesi bir iskonto oranı uygulanmıştır.
D,Discounted basis,İskonto esası (sigortacının yükümlülük hesaplaması),A measurement that brings future cash flows to present value using a discount rate.,The insurer measured its liabilities on a discounted basis to reflect the time value of money.,"Sigortacı, paranın zaman değerini yansıtmak için yükümlülüklerini iskonto esasına göre ölçmüştür."
D,Discounted basis (on a),İskontoya tabi tutulmuş (esas),Measured by discounting future cash flows to present value.,The provision was recognised on a discounted basis.,"Karşılık, iskontoya tabi tutulmuş esas üzerinden muhasebeleştirildi."
D,Discounted cash flow projections,İskonto edilmiş nakit akış projeksiyonları,Estimated future cash flows reduced to present value.,The recoverable amount was based on discounted cash flow projections.,"Geri kazanılabilir tutar, iskonto edilmiş nakit akış projeksiyonlarına dayandırıldı."
D,Discounting,İskonto etme,Reducing a future amount to its present value.,The provision was measured by discounting future cash outflows.,"Karşılık, gelecekteki nakit çıkışlarının iskonto edilmesiyle ölçüldü."
D,Discretionary participation feature,İsteğe bağlı katılım özelliği,A contractual right to share in profits.,The discretionary participation feature entitles policyholders to bonuses.,"İsteğe bağlı katılım özelliği, poliçe sahiplerine ikramiye hakkı verir."
D,Disposal consideration,Elden çıkarma bedeli,The amount received or receivable in exchange for disposing of an asset or a business.,The gain on disposal was measured as the disposal consideration less the carrying amount.,"Satış kazancı, elden çıkarma bedelinden defter değerinin düşülmesiyle ölçüldü."
D,Disposal group,Elden çıkarılan grup,Assets and liabilities to be disposed of together.,The disposal group is measured at the lower of carrying amount and fair value less costs.,"Elden çıkarılan grup, defter değeri ile gerçeğe uygun değerden maliyetler düşülerek bulunan değerin düşük olanıyla ölçülür."
D,Disposal plan,Elden çıkarma planı,A formal plan to sell or otherwise dispose of an asset.,A disposal plan was approved by the board.,"Bir elden çıkarma planı, yönetim kurulu tarafından onaylandı."
D,Disposal transaction,Elden çıkarma işlemi,A transaction in which an asset or business is sold or otherwise disposed of.,The disposal transaction resulted in a gain on sale.,"Elden çıkarma işlemi, satışta kâr ile sonuçlandı."
D,Dissenting opinion,"Karşı görüş, muhalif görüş",A formal statement by a board member who disagrees with a standard or decision.,Two board members attached a dissenting opinion to the new standard.,"İki kurul üyesi, yeni standarda karşı görüş eklemiştir."
D,Distributions of Non-Cash Assets to Owners,Nakit Dışı Varlıkların Ortaklara Dağıtımı,Transferring assets other than cash to owners as dividends.,The interpretation covers distributions of non-cash assets to owners.,"Yorum, nakit dışı varlıkların ortaklara dağıtımını kapsar."
D,Dividend yield,Temettü getirisi,Annual dividend per share divided by the share price.,The dividend yield was used as an input in the valuation.,"Temettü getirisi, değerlemede bir girdi olarak kullanıldı."
D,Dividends,Temettüler,Distributions of profit to shareholders.,Dividends declared after the reporting date are not recognised as a liability.,Raporlama tarihinden sonra ilan edilen temettüler borç olarak muhasebeleştirilmez.
D,Domain name,Alan adı,A registered internet address.,The domain name is recognised as an intangible asset.,"Alan adı, maddi olmayan duran varlık olarak muhasebeleştirilir."
D,Doubtful debts,Şüpheli borçlar,Receivables for which full collection is uncertain and which are therefore assessed for impairment.,A provision was recognised for doubtful debts based on the ageing of trade receivables.,Ticari alacakların yaşlandırılmasına dayanarak şüpheli borçlar için karşılık ayrıldı.
D,Downstream transactions,İştirak ve bağlı ortaklıklarla yapılan grup içi işlemler,Transactions from a parent to its subsidiary.,Downstream transactions are eliminated on consolidation.,"Aşağı yönlü işlemler, konsolidasyonda elimine edilir."
D,Dual listed corporation,Birden fazla borsada işlem gören bir anonim şirket,A company whose shares are listed on more than one exchange.,The dual listed corporation reports under two regulators.,"Birden fazla borsada işlem gören şirket, iki düzenleyiciye raporlama yapar."
D,Dual trigger contract,Çifte etki yaratan sigorta poliçesi,An insurance contract payable only on a specified uncertain future event.,The dual trigger contract may be accounted for as a derivative.,"Çifte etki yaratan sigorta poliçesi, türev olarak muhasebeleştirilebilir."
E,Earlier application is encouraged,Erken uygulama teşvik edilir,"A statement in a standard allowing, and encouraging, entities to apply it before its mandatory effective date.",The standard states that earlier application is encouraged but not required.,"Standart, erken uygulamanın teşvik edildiğini ancak zorunlu olmadığını belirtir."
E,Earnings,"Kazançlar, kârlar",Net profit of an entity for a reporting period.,Earnings rose sharply in the fourth quarter.,"Kazançlar, dördüncü çeyrekte keskin biçimde arttı."
