Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
D,Date of transition to IFRS,Übergangsdatum zum IFRS,Der Beginn der ersten IFRS-Berichtsperiode.,Das Übergangsdatum zum IFRS bestimmt die Eröffnungsbilanz.
D,Dealing securities,Zu Handelszwecken gehaltene Wertpapiere / Handelsbestände,"Wertpapiere, die das Unternehmen zu Handelszwecken hält.",Zu Handelszwecken gehaltene Wertpapiere werden zum beizulegenden Zeitwert bewertet.
D,Death benefit,Todesfallleistung / Hinterbliebenenleistung,"Ein Betrag, der den Bezugsberechtigten beim Tod eines Mitglieds gezahlt wird.",Der Plan sieht für die Familie des Teilnehmers eine Todesfallleistung vor.
D,Debt,Schulden / Verschuldung,"Eine Verpflichtung, aufgrund vergangener Ereignisse wirtschaftliche Ressourcen an eine andere Partei zu übertragen.","Die Gesamtschulden stiegen, nachdem das Unternehmen neue Anleihen ausgegeben hatte."
D,Debt for equity swaps,Umtausch von Schulden gegen Eigenkapital / Debt-Equity-Swap,"Transaktionen, bei denen Schulden gegen Eigenkapitalanteile eingetauscht werden.",Die Restrukturierung umfasste mehrere Umtauschgeschäfte von Schulden in Eigenkapital.
D,Debt instrument,Schuldinstrument / Schuldtitel,"Ein Finanzinstrument, das eine Zahlungsverpflichtung darstellt.",Ein Schuldinstrument kann zu fortgeführten Anschaffungskosten bewertet werden.
D,Debt securities,Schuldtitel / Schuldverschreibungen,"Finanzinstrumente, die eine Gläubigerbeziehung darstellen.",Schuldtitel werden auf Grundlage des Geschäftsmodells klassifiziert.
D,Debt-to-adjusted capital ratio,Verhältnis von Schulden zu bereinigtem Kapital,"Eine Kennzahl, die die Schulden ins Verhältnis zum bereinigten Kapital setzt.",Das Verhältnis von Schulden zu bereinigtem Kapital misst die finanzielle Verschuldung (Leverage).
D,Debt-to-equity ratio,Verschuldungsgrad / Verhältnis von Schulden zu Eigenkapital,"Eine Finanzkennzahl, die die Gesamtverbindlichkeiten dem Eigenkapital gegenüberstellt und damit den finanziellen Leverage und das Risiko anzeigt.",Der Verschuldungsgrad des Unternehmens blieb innerhalb der mit dem Kreditgeber vereinbarten Obergrenzen.
D,Decision tree,Entscheidungsbaum,Ein strukturiertes Hilfsmittel zur Unterstützung von Entscheidungen.,Ein Entscheidungsbaum hilft bei der Klassifizierung von Finanzinstrumenten.
D,Decision-useful information,Entscheidungsnützliche Informationen,"Informationen, die den Adressaten bei wirtschaftlichen Entscheidungen helfen.",Der Jahresabschluss sollte entscheidungsnützige Informationen bereitstellen.
D,Decommissioning,Stilllegung / Rückbau,Der Prozess der Außerbetriebnahme eines Vermögenswerts und der Wiederherstellung des Standorts.,Für die Stilllegung des Werks wurde eine Rückstellung gebildet.
D,Decommissioning costs,Stilllegungs- und Rückbaukosten,"Kosten, die voraussichtlich am Ende der Nutzungsdauer eines Vermögenswerts für dessen Abbau oder die Wiederherstellung des Standorts anfallen.",Beim Bau des Werks wurde eine Rückstellung für Stilllegungskosten gebildet.
D,Decommissioning funds,Stilllegungsfonds / Rückbaufonds,"Zweckgebundene Vermögenswerte, die für künftige Rückbaukosten zurückgestellt werden.",Die Stilllegungsfonds werden auf einem gesonderten Konto gehalten.
D,Decommissioning obligations,Stilllegungs- und Rückbauverpflichtungen,Verpflichtungen zum Rückbau und zur Wiederherstellung eines Standorts nach der Nutzung.,Stilllegungsverpflichtungen werden als Rückstellung erfasst.
D,"Decommissioning, Restoration and Environmental Rehabilitation Funds","Mittel aus Fonds für Stilllegung, Wiederherstellung und ökologische Rekultivierung",Für Stilllegung und Umweltsanierung gebildete Mittel.,Einzahlungen in Stilllegungsfonds werden als Vermögenswert erfasst.
D,Deductible temporary difference,Abzugsfähige temporäre Differenz,"Eine Differenz, die künftige steuerpflichtige Beträge mindert.",Eine abzugsfähige temporäre Differenz führt zu einer aktiven latenten Steuer.
D,Deemed cost,Angenommene (fiktive) Anschaffungskosten,"Ein Betrag, der bei der erstmaligen Anwendung der IFRS anstelle der historischen Kosten verwendet wird, etwa der beizulegende Zeitwert zum Übergangszeitpunkt.",Bei der erstmaligen Anwendung wählte das Unternehmen den beizulegenden Zeitwert zum Übergangsdatum als angenommene Anschaffungskosten für sein Grundstück.
D,Defer,Aufschieben / Vertagen (Aufschub des Ansatzes),Den Ansatz eines Postens verschieben oder hinauszögern.,Das Unternehmen darf den Ansatz nur in begrenzten Fällen aufschieben.
D,Deferral method,Aufschubsmethode / Abgrenzungsmethode,"Ein Ansatz, bei dem ein Posten auf künftige Perioden verteilt wird.",Nach der Aufschubsmethode wird der Zuschuss zeitlich verteilt erfasst.
D,Deferred acquisition costs,Abgegrenzte Abschlusskosten,"Abschlusskosten im Versicherungsbereich, die als Vermögenswert erfasst und über die Zeit abgeschrieben werden.",Abgegrenzte Abschlusskosten werden über die Laufzeit der Police abgeschrieben.
D,Deferred income,Abgegrenzte Erträge / erhaltene Anzahlungen,"Eine Verbindlichkeit, die aus Zahlungen entsteht, die vor dem Erzielen der zugehörigen Umsatzerlöse eingegangen sind.",Die im Voraus erhaltenen Abonnementgebühren wurden als abgegrenzte Erträge erfasst.
D,Deferred policy acquisition costs,Abgegrenzte Policenabschlusskosten,"Abschlusskosten des Versicherers, die abgegrenzt und über die Laufzeit der Police abgeschrieben werden.",Abgegrenzte Policenabschlusskosten werden über die Vertragslaufzeit abgeschrieben.
D,Deferred tax,Latente Steuern,"Steuern, die in künftigen Perioden aus temporären Differenzen zu zahlen oder erstattungsfähig sind.",Latente Steuern entstehen aus temporären Differenzen.
D,Deferred tax assets,Aktive latente Steuern / latente Steuerforderungen,"Steuern, die in künftigen Perioden aus abzugsfähigen Differenzen verrechenbar sind.","Eine aktive latente Steuer wird insoweit angesetzt, als ihre Einbringlichkeit wahrscheinlich ist."
D,Deferred tax income,Latente Steuererträge,Aus latenten Steuern erfasste Steuereinnahmen.,Latente Steuererträge entstanden aus der Umkehrung einer temporären Differenz.
D,Deferred tax liabilities,Latente Steuerverbindlichkeiten,"Beträge an Einkommensteuern, die in künftigen Perioden in Bezug auf steuerpflichtige temporäre Differenzen zu zahlen sind.",Latente Steuerverbindlichkeiten entstehen aus den temporären Differenzen zwischen dem Buchwert und dem Steuerbilanzwert der Vermögenswerte.
D,Deficit balance,Negativer Saldo / Fehlbetrag,Ein negativer Saldo.,Der Plan wies zum Jahresende einen negativen Saldo auf.
D,Defined benefit liability,Verbindlichkeit aus leistungsorientierten Plänen,Der Barwert der zugesagten Versorgungsleistungen abzüglich des Planvermögens.,Die Verbindlichkeit aus leistungsorientierten Plänen stieg infolge sinkender Abzinsungssätze.
D,Defined benefit obligation,Verpflichtung aus leistungsorientierten Plänen / leistungsorientierte Verpflichtung,Der Barwert der den Arbeitnehmern zugesagten Versorgungsleistungen.,Die Verpflichtung aus leistungsorientierten Plänen wurde mit einem Marktzins abgezinst.
D,Defined benefit obligation (present value of),Barwert der Verpflichtung aus leistungsorientierten Plänen,"Der Barwert der erwarteten künftigen Leistungszahlungen, die zur Begleichung der bis zum Stichtag erdienten Arbeitsleistungen der Arbeitnehmer erforderlich sind.",Der Aktuar berechnete zum Jahresende den Barwert der Verpflichtung aus leistungsorientierten Plänen.
D,Defined benefit plan,Leistungsorientierter Plan (Plan mit zugesagten Leistungen),"Ein Plan für Leistungen nach Beendigung des Arbeitsverhältnisses, der bei Eintritt in den Ruhestand bestimmte Leistungen zusagt.",Der leistungsorientierte Plan wies ein hohes Defizit aus.
D,Defined benefit plans,Leistungsorientierte Pläne,"Pläne für Leistungen nach Beendigung des Arbeitsverhältnisses, bei denen die Leistungen durch eine Formel festgelegt sind.",Die Verpflichtung aus dem leistungsorientierten Plan wird versicherungsmathematisch bemessen.
D,Defined contribution plans,Beitragsorientierte Pläne (Pläne mit festen Beiträgen),"Versorgungspläne, bei denen der Arbeitgeber feste Beiträge leistet.",Bei beitragsorientierten Plänen ist die Verpflichtung des Arbeitgebers auf die geleisteten Beiträge beschränkt.
D,Demand amount,Auf Verlangen fälliger Betrag / Abrufbetrag,"Ein Betrag, der auf Verlangen zahlbar ist.",Der auf Verlangen zahlbare Betrag des Darlehens ist sofort zurückzuzahlen.
D,Demand deposits,Sichteinlagen / täglich fällige Einlagen,"Einlagen, die der Einleger jederzeit ohne vorherige Kündigung abheben kann.","Sichteinlagen werden als kurzfristige Verbindlichkeiten klassifiziert, da sie auf Abruf zurückzahlbar sind."
D,Demand feature,Abrufklausel / Rückzahlungsrecht auf Verlangen,"Eine Ausgestaltung, die dem Inhaber das Recht einräumt, die Rückzahlung zu verlangen.",Eine Abrufklausel kann zur Ausweisung als Verbindlichkeit führen.
D,Demerger,Abspaltung / Ausgliederung,Die Ausgliederung einer Sparte in ein eigenständiges Unternehmen.,Die Abspaltung schuf zwei getrennt börsennotierte Gesellschaften.
D,Demonstrably committed,Nachweislich (rechtsverbindlich) gebunden,"Durch einen formellen Plan gebunden sein, von dem ein Rückzug nicht realistisch möglich ist.",Das Unternehmen hatte sich an den Restrukturierungsplan nachweislich rechtsverbindlich gebunden.
D,Deposit account,Festgeldkonto / Termineinlagenkonto,"Ein Bankkonto, auf dem Gelder für eine feste Laufzeit verzinst werden.",Überschüssige Liquidität wurde auf einem einjährigen Festgeldkonto angelegt.
D,Deposit accounting,Einlagenorientierte Bilanzierung (Deposit Accounting),"Eine Methode, die Versicherungsverträge wie finanzielle Einlagen behandelt.",Die einlagenorientierte Bilanzierung ist auf diese kurzlaufenden Verträge anzuwenden.
D,Deposit component,Einlagenkomponente / Sparanteil,Das in einen Versicherungsvertrag eingebettete Sparelement.,Die Einlagenkomponente wird vom Versicherungsanteil getrennt.
D,Depreciable amount,Abschreibungsbetrag,Die Kosten eines Vermögenswerts abzüglich seines Restwerts.,Der Abschreibungsbetrag wird über die Nutzungsdauer verteilt.
D,Depreciable assets,Abschreibungsfähige Vermögenswerte,"Vermögenswerte, die der Abschreibung unterliegen.",Abschreibungsfähige Vermögenswerte werden über ihre Nutzungsdauern abgeschrieben.
D,Depreciable replacement cost approach,Ansatz der um Abschreibungen geminderten Wiederbeschaffungskosten,"Ein Bewertungsansatz, bei dem die aktuellen Wiederbeschaffungskosten eines Vermögenswerts geschätzt und um kumulierte Abschreibungen und Wertminderungen gemindert werden.","Der Sachverständige wandte den Ansatz der um Abschreibungen geminderten Wiederbeschaffungskosten an, um den beizulegenden Zeitwert des Werks zu schätzen."
D,Depreciation,Abschreibung,Die Verteilung der Kosten eines materiellen Vermögenswerts auf dessen Nutzungsdauer.,Die Abschreibung wird linear vorgenommen.
D,Depreciation methods,Abschreibungsmethoden,Verfahren zur Verteilung des Abschreibungsbetrags eines Vermögenswerts über die Zeit.,Zu den Abschreibungsmethoden zählen die lineare Abschreibung und die degressive Abschreibung.
D,Derecognise (a financial instrument),Ausbuchen / aus der Bilanz entfernen,Das Herausnehmen eines Finanzinstruments aus der Bilanz.,Das Unternehmen buchte den finanziellen Vermögenswert bei der Übertragung aus.
D,Derecognition,Ausbuchung / Bilanzabgang,Das Entfernen eines zuvor erfassten Vermögenswerts oder einer zuvor erfassten Verbindlichkeit aus der Bilanz.,Die Ausbuchung der Forderung aus Lieferungen und Leistungen folgte auf die Übertragung nahezu aller Risiken und Chancen.
D,Derivative,Derivat,"Ein Finanzinstrument, dessen Wert von einem Basiswert abgeleitet ist.",Das Derivat wird zum beizulegenden Zeitwert bewertet.
D,Derivative assets,Derivative finanzielle Vermögenswerte,"Finanzielle Vermögenswerte, deren Wert von einem Basiswert abgeleitet ist.",Derivative finanzielle Vermögenswerte werden zum beizulegenden Zeitwert mit erfolgswirksamer Erfassung der Wertänderungen bewertet.
D,Derivative features,Derivatelemente / derivative Merkmale,"Merkmale, die dazu führen, dass sich ein Instrument wie ein Derivat verhält.",Die Derivatelemente des Grundvertrags erforderten eine gesonderte Bilanzierung.
D,Derivative financial instruments,Derivative Finanzinstrumente,"Instrumente, deren Wert von einem Basiswert abgeleitet ist.",Derivative Finanzinstrumente werden zum beizulegenden Zeitwert bewertet.
D,Derivative liabilities,Derivative finanzielle Verbindlichkeiten,"Finanzielle Verbindlichkeiten, deren Wert auf eine Basisgröße reagiert und die in der Regel zum beizulegenden Zeitwert bewertet werden.",Die aus dem Zinsswap resultierenden derivativen finanziellen Verbindlichkeiten werden zum beizulegenden Zeitwert mit erfolgswirksamer Erfassung bewertet.
D,Designated and effective hedging instrument,Bezeichnetes und wirksames (effektives) Absicherungsinstrument,"Ein Instrument, das formal als Absicherungsinstrument bezeichnet wurde und für die Absicherung wirksam ist.",Das bezeichnete und wirksame Absicherungsinstrument gleicht das Risiko aus.
D,Designation as at fair value through profit or loss,Bezeichnung als zum beizulegenden Zeitwert erfolgswirksam zu bewertendes Instrument (Fair-Value-Option),"Die Entscheidung, ein Finanzinstrument zum beizulegenden Zeitwert mit erfolgswirksamer Erfassung von Wertänderungen zu bewerten.",Das Unternehmen nutzte die Bezeichnung als zum beizulegenden Zeitwert erfolgswirksam zu bewertendes Instrument.
D,Determination of cost,Kostenermittlung / Bestimmung der Kosten,Der Prozess der Festlegung des Kostenbetrags eines Postens.,Die Kostenermittlung folgt der jeweils anzuwendenden Kostenformel.
D,Determining Whether an Arrangement Contains a Lease,"Beurteilung, ob eine Vereinbarung ein Leasingverhältnis enthält","Die Leitlinie, mit der beurteilt wird, ob ein Vertrag das Recht zur Nutzung eines Vermögenswerts gegen Entgelt einräumt.","Nach der Leitlinie zur Beurteilung, ob eine Vereinbarung ein Leasingverhältnis enthält, wurde der Vertrag als Leasingvertrag behandelt."
D,Development,Entwicklung,Die Anwendung von Forschungsergebnissen auf die Herstellung neuer oder verbesserter Produkte.,Entwicklungskosten wurden in diesem Jahr aktiviert.
D,Development costs,Entwicklungskosten,"Kosten, die zur Entwicklung von Produkten oder Verfahren anfallen und aktiviert werden können.",Die Entwicklungskosten wurden als immaterieller Vermögenswert aktiviert.
D,Diluted earnings per share,Verwässertes Ergebnis je Aktie,Das um die Auswirkung aller verwässernden potenziellen Stammaktien angepasste Ergebnis je Aktie.,Das verwässerte Ergebnis je Aktie spiegelt die Wandelanleihe wider.
D,Dilution,Verwässerung,Eine Verringerung des Ergebnisses je Aktie durch potenzielle Aktien.,Die Wandelanleihen verursachten eine Verwässerung des Ergebnisses je Aktie.
D,Dilutive effect,Verwässernder Effekt / Verwässerungswirkung,"Die Verringerung des Ergebnisses je Aktie, die eintreten würde, wenn potenzielle Stammaktien in Stammaktien umgewandelt würden.",Die Aktienoptionen haben einen verwässernden Effekt auf das unverwässerte Basisergebnis je Aktie.
D,Dilutive potential ordinary shares,Verwässernd wirkende potenzielle Stammaktien,"Potenzielle Aktien, die das Ergebnis je Aktie mindern.",Verwässernd wirkende potenzielle Stammaktien mindern das unverwässerte Ergebnis je Aktie.
D,Diminishing balance method,Geometrisch-degressive Abschreibung (Methode der fallenden Buchwerte),"Eine Abschreibungsmethode, bei der ein fester Satz auf den abnehmenden Buchwert angewandt wird.",Die geometrisch-degressive Abschreibung führt anfangs zu höheren Abschreibungsbeträgen.
D,Direct insurance contract,Direktversicherungsvertrag (ohne Rückversicherung),"Ein Versicherungsvertrag, der kein Rückversicherungsvertrag ist.",Ein Direktversicherungsvertrag deckt das eigene Risiko des Versicherungsnehmers ab.
D,Direct labour,Direkte Arbeitskosten / Fertigungslöhne (Einzelarbeitslohn),"Die Kosten der Arbeitskräfte, die unmittelbar an der Herstellung von Gütern oder der Erbringung von Dienstleistungen beteiligt sind.",Direkte Arbeitskosten und Materialien sind in den Kosten der Fertigerzeugnisse enthalten.
